neuron,label,delta_spikes,rmse,accumulated_error,spikes_ref,spikes_test,precision,recall,f1_score
0,float16,-35,6.29603684027569,10189.76440744564,152,117,1.2991452991452992,1.0,1.1301115241635689
1,float16,-7,6.41285376501681,10528.150383736998,118,111,1.063063063063063,1.0,1.0305676855895198
2,float16,-4,5.974866630616909,9158.211869185881,144,140,1.0285714285714285,1.0,1.0140845070422535
3,float16,-14,6.285990866536898,10143.387885897822,147,133,1.105263157894737,1.0,1.05
4,float16,-11,6.416726969734542,10442.009189121338,144,133,1.0827067669172932,1.0,1.03971119133574
5,float16,6,6.30105778090725,9951.676134136558,142,148,0.9594594594594594,1.0,0.9793103448275862
6,float16,0,7.039930068990466,12527.345726736989,148,148,1.0,1.0,1.0
7,float16,-12,6.374369287578909,10338.74639704901,150,138,1.0869565217391304,1.0,1.0416666666666667
8,float16,4,5.887054066095321,8843.349730692915,129,133,0.9699248120300752,1.0,0.9847328244274809
9,float16,-53,6.4033596112221485,10463.137360008797,156,103,1.5145631067961165,1.0,1.2046332046332044
10,float16,-9,6.228648179087091,10057.508513608765,135,126,1.0634920634920635,0.9925925925925926,1.0268199233716473
11,float16,7,6.54735590347769,10840.125661263834,117,124,0.9435483870967742,1.0,0.970954356846473
12,float16,-15,6.232515229445179,10109.475803761592,132,117,1.1282051282051282,1.0,1.0602409638554218
13,float16,-5,6.843723855338416,11908.79136738445,146,141,1.0354609929078014,1.0,1.0174216027874565
14,float16,-9,6.500443196828756,10502.960600446193,134,125,1.072,1.0,1.0347490347490347
15,float16,22,6.428402665803856,10487.163379397995,133,155,0.8580645161290322,1.0,0.9236111111111112
16,float16,12,6.597023208742853,11008.199655519427,137,149,0.9194630872483222,1.0,0.958041958041958
17,float16,15,6.379655496360692,10251.34719727821,121,136,0.8897058823529411,1.0,0.9416342412451362
18,float16,-2,5.648320755752821,8094.31595188094,134,132,1.0075757575757576,0.9925373134328358,1.0
19,float16,11,6.430880627155917,10438.115809207411,119,130,0.9153846153846154,1.0,0.9558232931726908
20,float16,-6,6.646088294579387,11081.999756956811,157,151,1.0397350993377483,1.0,1.0194805194805197
21,float16,-12,6.441742494819521,10565.192398420799,136,124,1.096774193548387,1.0,1.0461538461538462
22,float16,16,6.445240779843475,10598.965021106062,133,149,0.8926174496644296,1.0,0.9432624113475176
23,float16,6,6.473303379903146,10525.334790104616,136,142,0.9577464788732394,1.0,0.9784172661870503
24,float16,-6,6.447631930699516,10599.811105977937,130,124,1.0483870967741935,1.0,1.0236220472440944
25,float16,5,6.490088963355246,10627.809160160072,144,149,0.9664429530201343,1.0,0.9829351535836178
26,float16,-21,6.450571064528418,10458.817279406992,178,157,1.1337579617834395,1.0,1.062686567164179
27,float16,-13,6.2605205526936905,10172.024374004897,124,111,1.117117117117117,1.0,1.05531914893617
28,float16,0,7.2970993109935565,13452.432612127444,154,154,1.0,1.0,1.0
29,float16,-48,6.468328788158082,10547.838604087965,154,106,1.4528301886792452,1.0,1.1846153846153846
30,float16,-1,6.757005953843825,11879.021684417694,125,124,1.0080645161290323,1.0,1.0040160642570282
31,float16,21,6.417618854084474,10443.02688037973,108,129,0.8372093023255814,1.0,0.9113924050632911
32,float16,-4,6.475659060880851,10619.039383761537,155,151,1.0264900662251655,1.0,1.0130718954248366
33,float16,-3,6.049094665397388,9442.69914816109,132,129,1.0232558139534884,1.0,1.0114942528735633
34,float16,-25,6.475116366454201,10588.634582651102,154,129,1.193798449612403,1.0,1.088339222614841
35,float16,23,6.369034637779255,10376.534375064799,132,155,0.8516129032258064,1.0,0.9198606271777003
36,float16,-16,6.534167324705486,10679.163151520475,141,125,1.128,1.0,1.0601503759398494
37,float16,22,6.571139301036708,10748.812681688003,142,164,0.8658536585365854,1.0,0.9281045751633987
38,float16,9,6.310868302406513,10229.94613234013,133,142,0.9366197183098591,1.0,0.9672727272727273
39,float16,-9,6.315794305929215,10176.962982726389,149,140,1.0642857142857143,1.0,1.0311418685121108
40,float16,-31,6.30497726694178,10284.480232358459,155,124,1.2419354838709677,0.9935483870967742,1.1039426523297493
41,float16,-46,6.455812554003392,10479.34735988257,171,125,1.368,1.0,1.1554054054054053
42,float16,-45,6.377865714606941,10338.102399148873,152,107,1.4205607476635513,1.0,1.1737451737451736
43,float16,-14,6.478047479055286,10632.208937352465,146,132,1.106060606060606,1.0,1.0503597122302157
44,float16,-1,6.432775156533461,10300.256316791758,133,132,1.0075757575757576,1.0,1.0037735849056602
45,float16,17,6.525905968465994,10583.129637894857,134,151,0.8874172185430463,1.0,0.9403508771929824
46,float16,-1,6.0530784150773345,9214.62812698864,141,140,1.0071428571428571,1.0,1.0035587188612098
47,float16,-22,6.476746368828989,10591.184759655267,151,129,1.1705426356589148,1.0,1.0785714285714285
48,float16,16,6.329615585727529,10185.72214534762,149,165,0.9030303030303031,1.0,0.9490445859872612
49,float16,7,6.470306377427562,10635.4806043155,142,149,0.9530201342281879,1.0,0.9759450171821306
50,float16,-12,6.530508987096035,10753.218673946853,137,125,1.096,1.0,1.0458015267175573
51,float16,-7,6.19360903369823,9898.695356733671,146,139,1.0503597122302157,1.0,1.024561403508772
52,float16,-24,6.281576251875805,10140.88707491316,148,124,1.1935483870967742,1.0,1.0882352941176472
53,float16,-43,6.442773208447825,10463.250278816131,168,125,1.344,1.0,1.1467576791808873
54,float16,16,6.341068283861562,10309.717280680321,141,157,0.8980891719745223,1.0,0.9463087248322147
55,float16,-37,6.418228405294232,10435.859383319063,170,133,1.2781954887218046,1.0,1.1221122112211221
56,float16,3,6.404785288152587,10454.779759992893,119,122,0.9754098360655737,1.0,0.9875518672199171
57,float16,15,6.385186811469087,10382.507801185791,114,129,0.8837209302325582,1.0,0.9382716049382717
58,float16,-40,6.383608699009714,10403.219393174357,151,111,1.3603603603603605,1.0,1.1526717557251909
59,float16,18,6.298593527804263,10229.945565529728,132,150,0.88,1.0,0.9361702127659575
60,float16,46,6.376314683889934,10387.490569564467,110,156,0.7051282051282052,1.0,0.8270676691729323
61,float16,-10,6.391411098690724,10407.674693363057,150,140,1.0714285714285714,1.0,1.0344827586206897
62,float16,21,6.41484739013996,10471.83298414653,124,145,0.8551724137931035,1.0,0.9219330855018588
63,float16,4,6.387085738720291,10351.988157461014,133,137,0.9708029197080292,1.0,0.9851851851851852
64,float16,12,6.269490247411862,10144.089946457814,129,141,0.9148936170212766,1.0,0.9555555555555556
65,float16,2,6.767457466106609,11662.103378294603,138,140,0.9857142857142858,1.0,0.9928057553956835
66,float16,2,6.179309294379332,9732.667111823466,155,157,0.9872611464968153,1.0,0.9935897435897436
67,float16,-42,6.461867790483581,10529.982434216738,150,108,1.3888888888888888,1.0,1.1627906976744187
68,float16,-24,6.48579151771044,10698.317490160973,145,121,1.1983471074380165,1.0,1.0902255639097744
69,float16,-8,6.343040362468363,10187.816475094869,144,136,1.0588235294117647,1.0,1.0285714285714287
70,float16,18,6.4926191437726635,10583.162477987993,137,155,0.8838709677419355,1.0,0.9383561643835617
71,float16,-10,6.530759891959332,10767.972079052543,143,133,1.0751879699248121,1.0,1.036231884057971
72,float16,-9,6.33362078117508,10315.696346246103,133,124,1.0725806451612903,1.0,1.0350194552529184
73,float16,-9,6.441486717932117,10616.431489595312,133,124,1.0725806451612903,1.0,1.0350194552529184
74,float16,6,6.465320526422151,10760.936505928756,124,130,0.9538461538461539,1.0,0.9763779527559054
75,float16,-8,6.3485375883516255,10273.766598928964,142,134,1.0597014925373134,1.0,1.0289855072463767
76,float16,13,6.526086277348263,10740.877406502615,126,139,0.9064748201438849,1.0,0.9509433962264151
77,float16,14,6.375874133922112,10308.434728848162,133,147,0.9047619047619048,1.0,0.9500000000000001
78,float16,16,6.448066694704519,10421.09657011288,136,152,0.8947368421052632,1.0,0.9444444444444444
79,float16,-33,6.4385908453834,10522.505635511576,151,118,1.2796610169491525,1.0,1.1226765799256506
80,float16,-18,6.321294748655096,10223.148545544187,142,124,1.1451612903225807,1.0,1.0676691729323307
81,float16,13,6.455024888456137,10466.520093221152,133,146,0.910958904109589,1.0,0.953405017921147
82,float16,16,6.221339339925867,9890.679741107346,124,140,0.8857142857142857,1.0,0.9393939393939393
83,float16,-2,6.132382506917083,9648.358179637486,134,132,1.0151515151515151,1.0,1.0075187969924813
84,float16,-6,6.384643670150967,10358.756051927825,130,124,1.0403225806451613,0.9923076923076923,1.0157480314960632
85,float16,25,6.407243017429555,10509.991448149869,142,167,0.8502994011976048,1.0,0.9190938511326862
86,float16,9,6.561773695749535,10815.011681218097,139,148,0.9391891891891891,1.0,0.9686411149825784
87,float16,-4,6.830124310588146,11683.3210398103,162,158,1.0253164556962024,1.0,1.0125
88,float16,-34,6.367536904088824,10418.78652908164,146,112,1.3035714285714286,1.0,1.1317829457364341
89,float16,-28,6.366516856554907,10325.366473083695,152,124,1.2258064516129032,1.0,1.101449275362319
90,float16,24,6.3790467526622,10400.473291345586,102,126,0.8095238095238095,1.0,0.8947368421052632
91,float16,19,6.439656560570308,10571.47219701735,139,158,0.879746835443038,1.0,0.9360269360269361
92,float16,-4,6.7166880859345515,11375.042068507377,125,121,1.024793388429752,0.992,1.0081300813008127
93,float16,12,6.510218575779456,10782.268716255907,137,149,0.9194630872483222,1.0,0.958041958041958
94,float16,68,6.454906267909521,10557.067684149497,89,157,0.5668789808917197,1.0,0.7235772357723577
95,float16,4,6.353329809123548,10415.372773791369,132,136,0.9705882352941176,1.0,0.9850746268656716
96,float16,0,7.134683878013503,12900.18091756631,150,150,1.0,1.0,1.0
97,float16,15,6.270018298906833,10120.000940800282,125,140,0.8928571428571429,1.0,0.9433962264150945
98,float16,-33,6.456240713434442,10476.775511481603,146,113,1.2920353982300885,1.0,1.1274131274131276
99,float16,9,6.376995640153162,10371.487413356934,141,150,0.94,1.0,0.9690721649484536
0,posit16,5,6.332888947818106,10190.069398950425,152,157,0.9681528662420382,1.0,0.9838187702265372
1,posit16,15,6.614703016058962,10940.757826102352,118,133,0.8872180451127819,1.0,0.9402390438247012
2,posit16,-19,6.584192026386275,10790.344321386263,144,125,1.152,1.0,1.070631970260223
3,posit16,-13,6.571042047282354,10743.469400272192,147,134,1.0970149253731343,1.0,1.0462633451957295
4,posit16,-21,6.448079597563719,10530.176716181046,144,123,1.170731707317073,1.0,1.0786516853932584
5,posit16,-6,6.215699265659221,9666.050179762578,142,136,1.0441176470588236,1.0,1.0215827338129497
6,posit16,-15,6.367232125980866,10495.21669727895,148,133,1.112781954887218,1.0,1.0533807829181494
7,posit16,-26,6.324670971648675,10297.576032767969,150,124,1.2096774193548387,1.0,1.094890510948905
8,posit16,-11,6.309363706405983,10193.02964607418,129,118,1.0932203389830508,1.0,1.0445344129554655
9,posit16,-7,6.2709948156985265,10081.213709885007,156,149,1.0469798657718121,1.0,1.0229508196721313
10,posit16,-10,6.429265989382218,10395.542027329808,135,125,1.08,1.0,1.0384615384615385
11,posit16,9,6.514911428236586,10720.372275383632,117,126,0.9285714285714286,1.0,0.962962962962963
12,posit16,6,6.044650483076329,9476.28841591933,132,138,0.9565217391304348,1.0,0.9777777777777777
13,posit16,-14,6.370104162929855,10259.170489040505,146,132,1.106060606060606,1.0,1.0503597122302157
14,posit16,-1,7.116136534104849,12735.624995307458,134,133,1.0075187969924813,1.0,1.0037453183520602
15,posit16,-15,6.453881246657068,10551.521449175825,133,118,1.1271186440677967,1.0,1.0597609561752988
16,posit16,-15,6.32849600028711,10351.225586795223,137,122,1.1229508196721312,1.0,1.0579150579150578
17,posit16,34,6.42298963740091,10456.028400589194,121,155,0.7806451612903226,1.0,0.8768115942028984
18,posit16,-2,6.000758645316874,9078.939895641566,134,132,1.0075757575757576,0.9925373134328358,1.0
19,posit16,-2,6.068042916615877,9322.969183301147,119,117,1.017094017094017,1.0,1.0084745762711864
20,posit16,-33,6.379312065759381,10383.476686168673,157,124,1.2580645161290323,0.9936305732484076,1.1103202846975089
21,posit16,3,5.907625825139971,8912.7994753731,136,139,0.9784172661870504,1.0,0.989090909090909
22,posit16,8,6.349697072866074,10312.265069240046,133,141,0.9432624113475178,1.0,0.9708029197080292
23,posit16,18,6.537923083150811,10809.255904777463,136,154,0.8831168831168831,1.0,0.9379310344827586
24,posit16,4,6.267661774182953,9898.19421476859,130,134,0.9701492537313433,1.0,0.9848484848484849
25,posit16,-3,6.0491130642280835,9349.791234421653,144,141,1.0212765957446808,1.0,1.0105263157894737
26,posit16,-44,6.61248697890779,10811.297611752303,178,134,1.328358208955224,1.0,1.141025641025641
27,posit16,34,6.376220161826855,10402.687317287278,124,158,0.7848101265822784,1.0,0.8794326241134751
28,posit16,-15,6.275398565561674,10192.5274170956,154,139,1.1079136690647482,1.0,1.0511945392491466
29,posit16,-20,6.405265243441724,10538.534253689435,154,134,1.1492537313432836,1.0,1.0694444444444444
30,posit16,36,6.441294628754153,10510.308745710421,125,161,0.7763975155279503,1.0,0.8741258741258742
31,posit16,24,6.325487763132288,10313.276521817355,108,132,0.8181818181818182,1.0,0.9
32,posit16,-5,6.06712109423074,9377.413396154527,155,150,1.0333333333333334,1.0,1.016393442622951
33,posit16,-2,6.930585073969747,12203.22600951762,132,130,1.0153846153846153,1.0,1.0076335877862594
34,posit16,-15,6.449470165265075,10505.792498460087,154,139,1.1079136690647482,1.0,1.0511945392491466
35,posit16,7,6.416496880752897,10628.678230824707,132,139,0.9496402877697842,1.0,0.974169741697417
36,posit16,-8,6.5747445889827185,10843.938518496218,141,133,1.0601503759398496,1.0,1.0291970802919708
37,posit16,-17,6.566000200081858,10808.713969883205,142,125,1.136,1.0,1.0636704119850187
38,posit16,4,6.174126786507391,9725.261012353745,133,137,0.9708029197080292,1.0,0.9851851851851852
39,posit16,-12,6.1477738218894,9728.973008686848,149,137,1.0875912408759123,1.0,1.0419580419580419
40,posit16,-21,6.375428082520942,10341.21415923801,155,134,1.1567164179104477,1.0,1.0726643598615915
41,posit16,24,6.560570800753768,10736.836569927307,171,195,0.8769230769230769,1.0,0.9344262295081968
42,posit16,-35,6.284257208284942,10264.058203452583,152,117,1.2991452991452992,1.0,1.1301115241635689
43,posit16,-8,6.345396906929538,10204.975294712898,146,138,1.0579710144927537,1.0,1.028169014084507
44,posit16,17,6.287321579579283,10060.156727551173,133,150,0.8866666666666667,1.0,0.9399293286219081
45,posit16,-3,6.242183112877584,9936.027033109214,134,131,1.0229007633587786,1.0,1.011320754716981
46,posit16,7,6.3500045936663225,10114.535139417076,141,148,0.9527027027027027,1.0,0.9757785467128028
47,posit16,-18,6.423589603405244,10522.68430994919,151,133,1.1353383458646618,1.0,1.063380281690141
48,posit16,-16,6.394706447408566,10488.962576311562,149,133,1.1203007518796992,1.0,1.0567375886524824
49,posit16,-3,6.434798715678058,10477.235695540576,142,139,1.0215827338129497,1.0,1.01067615658363
50,posit16,5,6.087677341428727,9432.844427783933,137,142,0.9647887323943662,1.0,0.982078853046595
51,posit16,-12,6.580873329382365,10849.724844643562,146,134,1.0895522388059702,1.0,1.042857142857143
52,posit16,1,5.476007630651067,7459.135338592494,148,149,0.9932885906040269,1.0,0.9966329966329966
53,posit16,-17,6.44769611207447,10461.485700333986,168,151,1.1125827814569536,1.0,1.0532915360501567
54,posit16,-19,6.409777732174209,10469.748211182334,141,122,1.1557377049180328,1.0,1.0722433460076046
55,posit16,-24,6.511253719163166,10612.02964879772,170,146,1.1643835616438356,1.0,1.0759493670886078
56,posit16,14,6.1980109737325755,9905.460060959278,119,133,0.8947368421052632,1.0,0.9444444444444444
57,posit16,18,6.465050810379769,10561.277919721293,114,132,0.8636363636363636,1.0,0.9268292682926829
58,posit16,-6,6.339573801647286,10252.067790909703,151,145,1.0413793103448277,1.0,1.0202702702702704
59,posit16,10,6.315764355202066,10330.627688060951,132,142,0.9295774647887324,1.0,0.9635036496350364
60,posit16,41,6.392686130542343,10407.681551852264,110,151,0.7284768211920529,1.0,0.842911877394636
61,posit16,-9,6.307489708294757,10164.455892838723,150,141,1.0638297872340425,1.0,1.0309278350515463
62,posit16,14,6.109679690219452,9609.987073051636,124,138,0.8985507246376812,1.0,0.9465648854961832
63,posit16,23,6.5230989299525834,10640.875423610672,133,156,0.8525641025641025,1.0,0.9204152249134947
64,posit16,4,6.399895834807853,10492.55492311296,129,133,0.9699248120300752,1.0,0.9847328244274809
65,posit16,22,6.441197456898117,10518.915791257896,138,160,0.8625,1.0,0.9261744966442953
66,posit16,-21,6.529072738638262,10706.351982803571,155,134,1.1492537313432836,0.9935483870967742,1.065743944636678
67,posit16,4,6.70325078752495,11282.527724971887,150,154,0.974025974025974,1.0,0.9868421052631579
68,posit16,-7,6.061126492398783,9285.20734358627,145,138,1.0507246376811594,1.0,1.0247349823321557
69,posit16,-27,6.382733428848256,10376.761405298585,144,117,1.2307692307692308,1.0,1.103448275862069
70,posit16,5,6.213110591680255,9848.11770710192,137,142,0.9647887323943662,1.0,0.982078853046595
71,posit16,0,6.726089447363478,11497.463621174134,143,143,1.0,1.0,1.0
72,posit16,7,6.442976535217124,10548.89591729711,133,140,0.95,1.0,0.9743589743589743
73,posit16,11,6.507167960651139,10579.773617445546,133,144,0.9236111111111112,1.0,0.9602888086642599
74,posit16,10,6.404131609741747,10442.117057770341,124,134,0.9253731343283582,1.0,0.9612403100775194
75,posit16,-2,6.766229509928732,11692.999455574349,142,140,1.0142857142857142,1.0,1.0070921985815602
76,posit16,27,6.459058555813371,10513.073039227755,126,153,0.8235294117647058,1.0,0.9032258064516129
77,posit16,16,6.492820820191186,10546.006088555361,133,149,0.8926174496644296,1.0,0.9432624113475176
78,posit16,28,6.51958327399073,10593.745685170668,136,164,0.8292682926829268,1.0,0.9066666666666667
79,posit16,-3,5.7584258699405835,8343.185882476713,151,148,1.0202702702702702,1.0,1.0100334448160535
80,posit16,6,6.432112118901107,10505.364719371533,142,148,0.9594594594594594,1.0,0.9793103448275862
81,posit16,9,6.515551369027808,10604.35983514084,133,142,0.9366197183098591,1.0,0.9672727272727273
82,posit16,-25,6.312471170627759,10382.250001785533,124,99,1.2525252525252526,1.0,1.1121076233183858
83,posit16,11,6.5072994883592825,10613.585377508576,134,145,0.9241379310344827,1.0,0.9605734767025089
84,posit16,-4,6.377476276908081,10270.693798540482,130,126,1.0317460317460319,1.0,1.0156250000000002
85,posit16,2,6.416273644552882,10433.816771866952,142,144,0.9861111111111112,1.0,0.993006993006993
86,posit16,-26,6.359929062087111,10373.031968545372,139,113,1.2300884955752212,1.0,1.103174603174603
87,posit16,-44,6.384195170212802,10364.35266548389,162,118,1.3728813559322033,1.0,1.157142857142857
88,posit16,4,6.348443404561296,10252.257795165511,146,150,0.9733333333333334,1.0,0.9864864864864865
89,posit16,17,6.483534089067301,10498.09261262763,152,169,0.8994082840236687,1.0,0.9470404984423676
90,posit16,24,6.348468150614397,10374.273717691995,102,126,0.8095238095238095,1.0,0.8947368421052632
91,posit16,-14,6.2585056267850465,10049.764536115676,139,125,1.112,1.0,1.053030303030303
92,posit16,14,6.5539360192648655,10794.969334100724,125,139,0.8992805755395683,1.0,0.9469696969696969
93,posit16,9,6.258038697685301,9942.245158619178,137,146,0.9383561643835616,1.0,0.9681978798586572
94,posit16,38,6.445453946561275,10543.029361189332,89,127,0.7007874015748031,1.0,0.824074074074074
95,posit16,-13,6.2327776094844625,9947.676703628083,132,119,1.1092436974789917,1.0,1.051792828685259
96,posit16,-1,6.134635986239883,9459.798157567462,150,149,1.0067114093959733,1.0,1.0033444816053512
97,posit16,-1,5.235258283890584,6991.904380114077,125,124,1.0,0.992,0.9959839357429718
98,posit16,-4,6.720715961986732,11391.687426686838,146,142,1.028169014084507,1.0,1.0138888888888888
99,posit16,14,6.414653866155928,10426.976350838648,141,155,0.9096774193548387,1.0,0.9527027027027027
