pair,fmt,I,rmse_mean
16bits,float16,0.2,0.0012336528227375387
16bits,posit16,0.2,0.0003084132056946322
16bits,float16,0.2947368421052632,0.0011248395651043944
16bits,posit16,0.2947368421052632,0.0011248395651043944
16bits,float16,0.3894736842105263,0.0009113285772626651
16bits,posit16,0.3894736842105263,0.0006919346605136255
16bits,float16,0.4842105263157895,0.0010387241911253306
16bits,posit16,0.4842105263157895,0.000552869327532364
16bits,float16,0.5789473684210527,0.0011035617618587589
16bits,posit16,0.5789473684210527,0.0006437443610825763
16bits,float16,0.6736842105263159,0.001020718008128626
16bits,posit16,0.6736842105263159,0.000710857184235417
16bits,float16,0.7684210526315789,0.0009478095789772601
16bits,posit16,0.7684210526315789,0.0007837656133867628
16bits,float16,0.8631578947368421,0.0008749011498258844
16bits,posit16,0.8631578947368421,0.0008566740425430873
16bits,float16,0.9578947368421054,0.0008019927206745689
16bits,posit16,0.9578947368421054,0.0008019927206745689
16bits,float16,1.0526315789473684,3.250696607900985e-05
16bits,posit16,1.0526315789473684,3.250696607900985e-05
16bits,float16,1.1473684210526316,2.9256269471153805e-05
16bits,posit16,1.1473684210526316,2.9256269471153805e-05
16bits,float16,1.2421052631578948,2.6005572863073065e-05
16bits,posit16,1.2421052631578948,2.6005572863073065e-05
16bits,float16,1.3368421052631578,2.275487625521702e-05
16bits,posit16,1.3368421052631578,2.275487625521702e-05
16bits,float16,1.431578947368421,1.9504179647585668e-05
16bits,posit16,1.431578947368421,1.9504179647585668e-05
16bits,float16,1.5263157894736843,1.6253483039504925e-05
16bits,posit16,1.5263157894736843,1.6253483039504925e-05
16bits,float16,1.6210526315789473,1.300278643164888e-05
16bits,posit16,1.6210526315789473,1.300278643164888e-05
16bits,float16,1.7157894736842105,9.752089823792834e-06
16bits,posit16,1.7157894736842105,9.752089823792834e-06
16bits,float16,1.8105263157894738,6.501393215712094e-06
16bits,posit16,1.8105263157894738,6.501393215712094e-06
16bits,float16,1.9052631578947368,3.250696607856047e-06
16bits,posit16,1.9052631578947368,3.250696607856047e-06
16bits,float16,2.0,0.0
16bits,posit16,2.0,0.0
24bits,float24,0.2,2.8913738024769637e-05
24bits,posit20,0.2,1.9275825360314485e-05
24bits,posit24,0.2,1.2047390915172948e-06
24bits,float24,0.2947368421052632,3.5915393718919735e-05
24bits,posit20,0.2947368421052632,3.667955103808116e-05
24bits,posit24,0.2947368421052632,3.8207865575141583e-07
24bits,float24,0.3894736842105263,9.49300601485688e-06
24bits,posit20,0.3894736842105263,9.49300601485688e-06
24bits,posit24,0.3894736842105263,3.032488027306732e-06
24bits,float24,0.4842105263157895,4.39782419601604e-05
24bits,posit20,0.4842105263157895,4.39782419601604e-05
24bits,posit24,0.4842105263157895,4.581066891011633e-07
24bits,float24,0.5789473684210527,4.310788131820178e-05
24bits,posit20,0.5789473684210527,1.1495435018604126e-05
24bits,posit24,0.5789473684210527,2.1553940668857813e-06
24bits,float24,0.6736842105263159,7.404762340478673e-06
24bits,posit20,0.6736842105263159,4.6706962421054164e-05
24bits,posit24,0.6736842105263159,6.407967453034225e-07
24bits,float24,0.7684210526315789,2.620146673028139e-05
24bits,posit20,0.7684210526315789,2.620146673028139e-05
24bits,posit24,0.7684210526315789,8.543956504498637e-07
24bits,float24,0.8631578947368421,4.4998171120114266e-05
24bits,posit20,0.8631578947368421,9.113553641398537e-06
24bits,posit24,0.8631578947368421,2.3495880462333046e-06
24bits,float24,0.9578947368421054,9.683150748404182e-06
24bits,posit20,0.9578947368421054,4.4428574018127825e-05
24bits,posit24,0.9578947368421054,2.9191851532087955e-06
24bits,float24,1.0526315789473684,1.2698033624858981e-06
24bits,posit20,1.0526315789473684,3.5554494150953307e-06
24bits,posit24,1.0526315789473684,6.349016814676424e-08
24bits,float24,1.1473684210526316,4.5204999703419445e-06
24bits,posit20,1.1473684210526316,3.0475280701459103e-07
24bits,posit24,1.1473684210526316,3.0475280701459103e-07
24bits,float24,1.2421052631578948,2.9459438010661486e-06
24bits,posit20,1.2421052631578948,2.9459438010661486e-06
24bits,posit24,1.2421052631578948,6.9839184781686e-08
24bits,float24,1.3368421052631578,1.3713876313409662e-06
24bits,posit20,1.3368421052631578,3.453865145790876e-06
24bits,posit24,1.3368421052631578,1.650744372265257e-07
24bits,float24,1.431578947368421,4.622084239197013e-06
24bits,posit20,1.431578947368421,2.031685381595229e-07
24bits,posit24,1.431578947368421,2.031685381595229e-07
24bits,float24,1.5263157894736843,3.047528069921217e-06
24bits,posit20,1.5263157894736843,3.047528069921217e-06
24bits,posit24,1.5263157894736843,3.1745084298075464e-08
24bits,float24,1.6210526315789473,1.4729719004207279e-06
24bits,posit20,1.6210526315789473,3.352280876935808e-06
24bits,posit24,1.6210526315789473,2.6665870608159383e-07
24bits,float24,1.7157894736842105,4.723668508276774e-06
24bits,posit20,1.7157894736842105,1.0158426907976145e-07
24bits,posit24,1.7157894736842105,1.0158426907976145e-07
24bits,float24,1.8105263157894738,3.1491123390009784e-06
24bits,posit20,1.8105263157894738,3.1491123390009784e-06
24bits,posit24,1.8105263157894738,1.3332935315314358e-07
24bits,float24,1.9052631578947368,1.5745561695004892e-06
24bits,posit20,1.9052631578947368,3.250696607856047e-06
24bits,posit24,1.9052631578947368,2.349136220082117e-07
24bits,float24,2.0,0.0
24bits,posit20,2.0,0.0
24bits,posit24,2.0,0.0
32bits,float32,0.2,7.529619727139046e-08
32bits,posit32,0.2,7.529619727139046e-08
32bits,float32,0.2947368421052632,1.8506934515290478e-07
32bits,posit32,0.2947368421052632,1.8506934515290478e-07
32bits,float32,0.3894736842105263,9.888547954711378e-08
32bits,posit32,0.3894736842105263,9.888547954711378e-08
32bits,float32,0.4842105263157895,6.95340505821492e-08
32bits,posit32,0.4842105263157895,6.95340505821492e-08
32bits,float32,0.5789473684210527,2.2452017323039295e-08
32bits,posit32,0.5789473684210527,2.2452017323039295e-08
32bits,float32,0.6736842105263159,2.046989540834154e-07
32bits,posit32,0.6736842105263159,2.046989540834154e-07
32bits,float32,0.7684210526315789,8.899951093180456e-09
32bits,posit32,0.7684210526315789,8.899951093180456e-09
32bits,float32,0.8631578947368421,1.8689904698844612e-07
32bits,posit32,0.8631578947368421,1.8689904698844612e-07
32bits,float32,0.9578947368421054,4.004979467534206e-08
32bits,posit32,0.9578947368421054,4.004979467534206e-08
32bits,float32,1.0526315789473684,1.1904406274738285e-08
32bits,posit32,1.0526315789473684,1.1904406274738285e-08
32bits,float32,1.1473684210526316,3.1745084298075464e-09
32bits,posit32,1.1473684210526316,3.1745084298075464e-09
32bits,float32,1.2421052631578948,5.555389639816536e-09
32bits,posit32,1.2421052631578948,5.555389639816536e-09
32bits,float32,1.3368421052631578,1.428528793413396e-08
32bits,posit32,1.3368421052631578,1.428528793413396e-08
32bits,float32,1.431578947368421,1.4682101544033237e-08
32bits,posit32,1.431578947368421,1.4682101544033237e-08
32bits,float32,1.5263157894736843,5.952203025022472e-09
32bits,posit32,1.5263157894736843,5.952203025022472e-09
32bits,float32,1.6210526315789473,2.777694819908268e-09
32bits,posit32,1.6210526315789473,2.777694819908268e-09
32bits,float32,1.7157894736842105,1.1507592889532349e-08
32bits,posit32,1.7157894736842105,1.1507592889532349e-08
32bits,float32,1.8105263157894738,1.7459796363941506e-08
32bits,posit32,1.8105263157894738,1.7459796363941506e-08
32bits,float32,1.9052631578947368,8.729898069624082e-09
32bits,posit32,1.9052631578947368,8.729898069624082e-09
32bits,float32,2.0,0.0
32bits,posit32,2.0,0.0
